name,latitude,longitude,threshold,heat_days,payout,status,last_updated,season_day,total_season_days
Akura,8.75,8.75,40.5,0,0,Safe,2026-02-24,0,92
Alagye,8.25,8.25,40.7,0,0,Safe,2026-02-24,0,92
Alapa,8.75,4.5,40.2,0,0,Safe,2026-02-24,0,92
Alizaga,8.75,8.5,39.9,0,0,Safe,2026-02-24,0,92
Alwaza,8.75,8.5,39.9,0,0,Safe,2026-02-24,0,92
Andaha,9.0,8.5,39.5,0,0,Safe,2026-02-24,0,92
Ankoro,9.0,4.75,41.3,0,0,Safe,2026-02-24,0,92
Apado,8.75,4.75,40.7,0,0,Safe,2026-02-24,0,92
Arikpa,8.75,8.5,39.9,0,0,Safe,2026-02-24,0,92
Ashangwa,8.5,8.5,40.5,0,0,Safe,2026-02-24,0,92
Ashige,8.5,8.75,41.1,0,0,Safe,2026-02-24,0,92
Assakio,8.5,8.75,41.1,0,0,Safe,2026-02-24,0,92
Barkin Abdullahi,8.5,8.25,40.6,0,0,Safe,2026-02-24,0,92
Bisanti 2,9.25,6.25,40.8,0,0,Safe,2026-02-24,0,92
Bokungi,8.75,5.0,40.9,0,0,Safe,2026-02-24,0,92
Burum-Burum,8.5,8.25,40.6,0,0,Safe,2026-02-24,0,92
Charati,9.5,5.5,41.3,0,0,Safe,2026-02-24,0,92
Chengudu,9.25,5.75,41.4,0,0,Safe,2026-02-24,0,92
Daddere,8.5,8.75,41.1,0,0,Safe,2026-02-24,0,92
Ejidogari,9.0,4.75,41.3,0,0,Safe,2026-02-24,0,92
Esanti,8.75,5.5,41.3,0,0,Safe,2026-02-24,0,92
Essan B,9.5,6.75,39.6,0,0,Safe,2026-02-24,0,92
Evunta,9.0,5.75,41.6,0,0,Safe,2026-02-24,0,92
Garaku,8.75,8.25,39.8,0,0,Safe,2026-02-24,0,92
Garam,9.25,7.25,39.5,0,0,Safe,2026-02-24,0,92
Gbara,8.75,5.75,41.3,0,0,Safe,2026-02-24,0,92
Gidan Ausa,8.5,8.5,40.5,0,0,Safe,2026-02-24,0,92
Gitta,9.0,8.5,39.5,0,0,Safe,2026-02-24,0,92
Gudi,9.0,8.25,39.6,0,0,Safe,2026-02-24,0,92
Gurdi,8.75,6.75,41.3,0,0,Safe,2026-02-24,0,92
Gwanje,9.0,8.25,39.6,0,0,Safe,2026-02-24,0,92
Iponri,8.75,4.75,40.7,0,0,Safe,2026-02-24,0,92
Iwashi,8.5,8.25,40.6,0,0,Safe,2026-02-24,0,92
Keffin Wambai,8.5,8.25,40.6,0,0,Safe,2026-02-24,0,92
Kokodo,8.75,5.5,41.3,0,0,Safe,2026-02-24,0,92
Kurmin Tagwaye,9.0,8.5,39.5,0,0,Safe,2026-02-24,0,92
Kwandare,8.5,8.5,40.5,0,0,Safe,2026-02-24,0,92
Lanwa,8.75,4.75,40.7,0,0,Safe,2026-02-24,0,92
Lenfa,9.0,5.75,41.6,0,0,Safe,2026-02-24,0,92
Lizzin Ezzen,8.75,8.25,39.8,0,0,Safe,2026-02-24,0,92
Mada Station,8.75,8.25,39.8,0,0,Safe,2026-02-24,0,92
Mambe,8.75,6.0,41.7,0,0,Safe,2026-02-24,0,92
Nakere,9.0,8.5,39.5,0,0,Safe,2026-02-24,0,92
Ngbambula,9.0,8.5,39.5,0,0,Safe,2026-02-24,0,92
Nunku,9.25,8.5,38.7,0,0,Safe,2026-02-24,0,92
Pangu 2,9.75,6.25,40.7,0,0,Safe,2026-02-24,0,92
Pangu 3,9.75,6.25,40.7,0,0,Safe,2026-02-24,0,92
Patidzuru,8.75,5.0,40.9,0,0,Safe,2026-02-24,0,92
Sabon Makera,9.5,5.25,41.1,0,0,Safe,2026-02-24,0,92
Shabu,8.5,8.5,40.5,0,0,Safe,2026-02-24,0,92
Takuti Abuja,9.25,6.5,41.3,0,0,Safe,2026-02-24,0,92
Tsonga 1,9.25,5.0,41.7,0,0,Safe,2026-02-24,0,92
Tsonga 2,9.0,5.0,41.4,0,0,Safe,2026-02-24,0,92
Tudun Adabu,8.5,8.75,41.1,0,0,Safe,2026-02-24,0,92
Tufa,9.25,7.0,40.5,0,0,Safe,2026-02-24,0,92
Wakama,9.0,8.5,39.5,0,0,Safe,2026-02-24,0,92
Wamba Kurmi,9.0,8.5,39.5,0,0,Safe,2026-02-24,0,92
Yelwa,8.5,8.25,40.6,0,0,Safe,2026-02-24,0,92
Yikpata,8.75,5.0,40.9,0,0,Safe,2026-02-24,0,92
Zambufu,8.75,5.25,41.2,0,0,Safe,2026-02-24,0,92
Zanchitagi,9.0,6.0,41.4,0,0,Safe,2026-02-24,0,92
Zolegi,9.25,6.5,41.3,0,0,Safe,2026-02-24,0,92
UREGI COOPERATIVE,9.75,6.25,40.7,0,0,Safe,2026-02-24,0,92
BOBI COOPERATIVE,9.75,6.5,40.4,0,0,Safe,2026-02-24,0,92
